angle,distance_mm,velocity_mm_per_s
0.05000000000000071,-0.0036486237814123967,-0.018243118907061984
0.05000000000000071,0.0313305737751719,0.1566528688758595
0.05000000000000071,-0.00840769827890675,-0.04203849139453375
0.10000000000000142,-0.011659732518861432,-0.05829866259430716
0.10000000000000142,0.02601627391963568,0.1300813695981784
0.10000000000000142,-0.010311328077905912,-0.05155664038952956
0.1999999999999993,-0.005472935672118595,-0.027364678360592976
0.1999999999999993,-0.0075352012876983565,-0.03767600643849178
0.1999999999999993,-0.0011897686243731442,-0.005948843121865721
0.3000000000000007,-0.007535201287700133,-0.037676006438500664
0.3000000000000007,-0.007614519195989544,-0.03807259597994772
0.3000000000000007,-0.011977004152029735,-0.05988502076014868
0.3999999999999986,-0.008804287820364465,-0.044021439101822324
0.3999999999999986,-0.005076346130659104,-0.02538173065329552
0.3999999999999986,-0.007138611746240642,-0.03569305873120321
0.5,0.013801316042735934,0.06900658021367967
0.5,-0.009676784811571082,-0.04838392405785541
0.5,0.001665676074123823,0.008328380370619115
0.6999999999999993,-0.01372199813444297,-0.06860999067221485
0.6999999999999993,0.019432887531436904,0.09716443765718452
0.6999999999999993,0.019353569623145717,0.09676784811572858
1,-0.006742022204784703,-0.03371011102392352
1,0.005790207305283346,0.02895103652641673
1,0.008566334095490902,0.04283167047745451
1.1999999999999993,-0.004997028222369693,-0.024985141111848463
1.1999999999999993,0.0007931790829154295,0.0039658954145771474
1.1999999999999993,-0.009518148994988707,-0.04759074497494353
1.5,-0.009200877361823956,-0.04600438680911978
1.5,0.011025189252528378,0.05512594626264189
1.5,-0.011263142977403717,-0.056315714887018586
1.6999999999999993,0.027285360452303564,0.13642680226151782
1.6999999999999993,0.023002193404558113,0.11501096702279057
1.6999999999999993,-0.04941505686565506,-0.2470752843282753
2,-0.1295261442401454,-0.6476307212007271
2,-0.12984341587331016,-0.6492170793665508
2,-0.09327786015089501,-0.46638930075447504
2.1999999999999993,-0.20979586743121814,-1.0489793371560907
2.1999999999999993,-0.1622051224562746,-0.811025612281373
2.1999999999999993,-0.16981964165226415,-0.8490982082613208
2.5,-0.174975305691218,-0.87487652845609
2.5,-0.16395011643868962,-0.8197505821934481
2.5,-0.18552458749399925,-0.9276229374699962
2.6999999999999993,-0.1871109456598301,-0.9355547282991505
2.6999999999999993,-0.24794778131947126,-1.2397389065973563
2.6999999999999993,-0.22446968046516247,-1.1223484023258123
3,-0.2615111436373301,-1.3075557181866504
3,-0.25040663647650696,-1.2520331823825348
3,-0.2524689020920885,-1.2623445104604425
3.5,-0.35145765163997744,-1.7572882581998872
3.5,-0.3649416960495433,-1.8247084802477165
3.5,-0.38001209862494356,-1.9000604931247178
4,-0.4833633331288709,-2.4168166656443546
4,-0.48122174960499997,-2.406108748025
4,-0.4876465001766146,-2.438232500883073
4.5,-0.605671547714481,-3.0283577385724048
4.5,-0.5986915717848227,-2.9934578589241134
4.5,-0.5715648471491033,-2.8578242357455164
5,-0.7727150625765411,-3.8635753128827055
5,-0.7670041731795472,-3.835020865897736
5,-0.7245690922435539,-3.6228454612177696
7,-0.9758482257112675,-4.8792411285563375
7,-1.0027369966221134,-5.013684983110567
7,-0.979655485309264,-4.89827742654632
10,-1.502995044217089,-7.514975221085445
10,-1.521872706390484,-7.60936353195242
10,-1.5441610386204179,-7.720805193102089
15,-2.536428071348043,-12.682140356740215
15,-2.5455496308015757,-12.727748154007879
15,-2.5955199130252673,-12.977599565126337
20,-3.6549692140758623,-18.27484607037931
20,-3.6687705301185956,-18.343852650592975
20,-3.615944803196407,-18.079724015982034
30,-5.583425518368968,-27.91712759184484
30,-5.597623423953163,-27.988117119765814
30,-5.593578210630291,-27.967891053151455
