t_minus_0,t_minus_1,t_minus_2,t_minus_3,t_minus_4,t_minus_5,t_minus_6,t_minus_7,t_minus_8,t_minus_9,velocity
-15.0,-10.0,-1.0,-5.0,0.5,0.5,20.0,-2.0,-1.0,0.5,48.98674016087789
1.0,-15.0,-10.0,-1.0,-5.0,0.5,0.5,20.0,-2.0,-1.0,83.68039324761357
-3.0,1.0,-15.0,-10.0,-1.0,-5.0,0.5,0.5,20.0,-2.0,69.1176252852801
-7.5,-3.0,1.0,-15.0,-10.0,-1.0,-5.0,0.5,0.5,20.0,53.58717884178934
0.0,-7.5,-3.0,1.0,-15.0,-10.0,-1.0,-5.0,0.5,0.5,52.667091105606985
1.0,0.0,-7.5,-3.0,1.0,-15.0,-10.0,-1.0,-5.0,0.5,34.69365308673575
1.0,1.0,0.0,-7.5,-3.0,1.0,-15.0,-10.0,-1.0,-5.0,10.216146587955155
10.0,1.0,1.0,0.0,-7.5,-3.0,1.0,-15.0,-10.0,-1.0,1.8719026356810886
0.0,10.0,1.0,1.0,0.0,-7.5,-3.0,1.0,-15.0,-10.0,-19.543932603044478
5.0,0.0,10.0,1.0,1.0,0.0,-7.5,-3.0,1.0,-15.0,-51.0172786131422
4.0,5.0,0.0,10.0,1.0,1.0,0.0,-7.5,-3.0,1.0,-38.770593572922785
4.0,4.0,5.0,0.0,10.0,1.0,1.0,0.0,-7.5,-3.0,-38.32641328648996
20.0,4.0,4.0,5.0,0.0,10.0,1.0,1.0,0.0,-7.5,-39.62722698247178
0.0,20.0,4.0,4.0,5.0,0.0,10.0,1.0,1.0,0.0,-53.888586893297365
-10.0,0.0,20.0,4.0,4.0,5.0,0.0,10.0,1.0,1.0,-98.44938777150516
-4.0,-10.0,0.0,20.0,4.0,4.0,5.0,0.0,10.0,1.0,-53.2381800453064
14.0,-4.0,-10.0,0.0,20.0,4.0,4.0,5.0,0.0,10.0,17.862392947263128
-2.0,14.0,-4.0,-10.0,0.0,20.0,4.0,4.0,5.0,0.0,24.953413948530056
-0.5,-2.0,14.0,-4.0,-10.0,0.0,20.0,4.0,4.0,5.0,-38.15191388824846
-2.0,-0.5,-2.0,14.0,-4.0,-10.0,0.0,20.0,4.0,4.0,-19.845340654552523
4.5,-2.0,-0.5,-2.0,14.0,-4.0,-10.0,0.0,20.0,4.0,-9.137423035189663
-5.0,4.5,-2.0,-0.5,-2.0,14.0,-4.0,-10.0,0.0,20.0,-9.787829883180587
3.0,-5.0,4.5,-2.0,-0.5,-2.0,14.0,-4.0,-10.0,0.0,0.4283167047745118
2.0,3.0,-5.0,4.5,-2.0,-0.5,-2.0,14.0,-4.0,-10.0,0.17449939824146776
-0.5,2.0,3.0,-5.0,4.5,-2.0,-0.5,-2.0,14.0,-4.0,-5.48879925377711
-15.0,-0.5,2.0,3.0,-5.0,4.5,-2.0,-0.5,-2.0,14.0,-2.1733106871892116
4.0,-15.0,-0.5,2.0,3.0,-5.0,4.5,-2.0,-0.5,-2.0,52.730545432240305
-2.0,4.0,-15.0,-0.5,2.0,3.0,-5.0,4.5,-2.0,-0.5,35.43924142467654
1.0,-2.0,4.0,-15.0,-0.5,2.0,3.0,-5.0,4.5,-2.0,14.848312432183185
-1.0,1.0,-2.0,4.0,-15.0,-0.5,2.0,3.0,-5.0,4.5,3.823123179654009
4.0,-1.0,1.0,-2.0,4.0,-15.0,-0.5,2.0,3.0,-5.0,4.394212119353358
-10.0,4.0,-1.0,1.0,-2.0,4.0,-15.0,-0.5,2.0,3.0,0.47590744974945753
3.0,-10.0,4.0,-1.0,1.0,-2.0,4.0,-15.0,-0.5,2.0,21.304790167117527
10.0,3.0,-10.0,4.0,-1.0,1.0,-2.0,4.0,-15.0,-0.5,14.007542604292489
-5.0,10.0,3.0,-10.0,4.0,-1.0,1.0,-2.0,4.0,-15.0,-19.702568419627696
11.5,-5.0,10.0,3.0,-10.0,4.0,-1.0,1.0,-2.0,4.0,-28.951036526425543
-1.0,11.5,-5.0,10.0,3.0,-10.0,4.0,-1.0,1.0,-2.0,-39.881044289004855
-5.0,-1.0,11.5,-5.0,10.0,3.0,-10.0,4.0,-1.0,1.0,-36.978008845533125
-15.0,-5.0,-1.0,11.5,-5.0,10.0,3.0,-10.0,4.0,-1.0,-5.869525213576687
-3.0,-15.0,-5.0,-1.0,11.5,-5.0,10.0,3.0,-10.0,4.0,35.75651305784287
0.0,-3.0,-15.0,-5.0,-1.0,11.5,-5.0,10.0,3.0,-10.0,77.23977909433755
-5.0,0.0,-3.0,-15.0,-5.0,-1.0,11.5,-5.0,10.0,3.0,62.78805620361223
15.0,-5.0,0.0,-3.0,-15.0,-5.0,-1.0,11.5,-5.0,10.0,38.19950463322339
1.0,15.0,-5.0,0.0,-3.0,-15.0,-5.0,-1.0,11.5,-5.0,14.626222288966773
-15.0,1.0,15.0,-5.0,0.0,-3.0,-15.0,-5.0,-1.0,11.5,-55.300445660887384
0.0,-15.0,1.0,15.0,-5.0,0.0,-3.0,-15.0,-5.0,-1.0,-28.45926549501776
-5.0,0.0,-15.0,1.0,15.0,-5.0,0.0,-3.0,-15.0,-5.0,51.85804844103296
3.0,-5.0,0.0,-15.0,1.0,15.0,-5.0,0.0,-3.0,-15.0,52.31809230912403
5.0,3.0,-5.0,0.0,-15.0,1.0,15.0,-5.0,0.0,-3.0,16.355352689723233
4.0,5.0,3.0,-5.0,0.0,-15.0,1.0,15.0,-5.0,0.0,-0.9200877361823068
-1.0,4.0,5.0,3.0,-5.0,0.0,-15.0,1.0,15.0,-5.0,-34.50329010683597
3.0,-1.0,4.0,5.0,3.0,-5.0,0.0,-15.0,1.0,15.0,-22.684921771390965
-1.0,3.0,-1.0,4.0,5.0,3.0,-5.0,0.0,-15.0,1.0,-19.163206643244955
5.0,-1.0,3.0,-1.0,4.0,5.0,3.0,-5.0,0.0,-15.0,-12.611547418360702
2.0,5.0,-1.0,3.0,-1.0,4.0,5.0,3.0,-5.0,0.0,-20.511611084201807
13.0,2.0,5.0,-1.0,3.0,-1.0,4.0,5.0,3.0,-5.0,-28.173721025168106
0.0,13.0,2.0,5.0,-1.0,3.0,-1.0,4.0,5.0,3.0,-67.94372024256472
0.0,0.0,13.0,2.0,5.0,-1.0,3.0,-1.0,4.0,5.0,-58.726979299083524
-0.5,0.0,0.0,13.0,2.0,5.0,-1.0,3.0,-1.0,4.0,-22.859421169632444
0.5,-0.5,0.0,0.0,13.0,2.0,5.0,-1.0,3.0,-1.0,-7.26552039950844
0.0,0.5,-0.5,0.0,0.0,13.0,2.0,5.0,-1.0,3.0,-1.1263142977403828
-20.0,0.0,0.5,-0.5,0.0,0.0,13.0,2.0,5.0,-1.0,0.01586358165830415
-2.0,-20.0,0.0,0.5,-0.5,0.0,0.0,13.0,2.0,5.0,30.31530454904068
-0.5,-2.0,-20.0,0.0,0.5,-0.5,0.0,0.0,13.0,2.0,89.51819129787366
-20.0,-0.5,-2.0,-20.0,0.0,0.5,-0.5,0.0,0.0,13.0,65.35795643225927
1.0,-20.0,-0.5,-2.0,-20.0,0.0,0.5,-0.5,0.0,0.0,65.5800465754758
-1.0,1.0,-20.0,-0.5,-2.0,-20.0,0.0,0.5,-0.5,0.0,82.90307774635615
0.5,-1.0,1.0,-20.0,-0.5,-2.0,-20.0,0.0,0.5,-0.5,61.96314995737979
20.0,0.5,-1.0,1.0,-20.0,-0.5,-2.0,-20.0,0.0,0.5,25.42932139827956
10.0,20.0,0.5,-1.0,1.0,-20.0,-0.5,-2.0,-20.0,0.0,-8.011108737449302
-1.0,10.0,20.0,0.5,-1.0,1.0,-20.0,-0.5,-2.0,-20.0,-99.40120267100404
-10.0,-1.0,10.0,20.0,0.5,-1.0,1.0,-20.0,-0.5,-2.0,-99.68674714085384
-10.0,-10.0,-1.0,10.0,20.0,0.5,-1.0,1.0,-20.0,-0.5,-40.78526844352881
-12.0,-10.0,-10.0,-1.0,10.0,20.0,0.5,-1.0,1.0,-20.0,54.237585689780275
0.0,-12.0,-10.0,-10.0,-1.0,10.0,20.0,0.5,-1.0,1.0,94.72144608180106
0.0,0.0,-12.0,-10.0,-10.0,-1.0,10.0,20.0,0.5,-1.0,81.74503628529912
0.0,0.0,0.0,-12.0,-10.0,-10.0,-1.0,10.0,20.0,0.5,39.658954145788435
0.0,0.0,0.0,0.0,-12.0,-10.0,-10.0,-1.0,10.0,20.0,13.991679022634163
0.0,0.0,0.0,0.0,0.0,-12.0,-10.0,-10.0,-1.0,10.0,4.267303466086769
0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-10.0,-10.0,-1.0,-0.5234981947243256
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-10.0,-10.0,-0.14277223492484836
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-10.0,0.8566334095490014
-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-0.5710889396993934
0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7297247562825682
5.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6821340113075891
-4.0,5.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.14277223492484836
-1.0,-4.0,5.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.2532229510068937
1.0,-1.0,-4.0,5.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.1104507160820454
-1.0,1.0,-1.0,-4.0,5.0,0.0,-1.0,1.0,0.0,0.0,1.2373593693485674
0.0,-1.0,1.0,-1.0,-4.0,5.0,0.0,-1.0,1.0,0.0,-1.427722349248306
0.0,0.0,-1.0,1.0,-1.0,-4.0,5.0,0.0,-1.0,1.0,0.07931790829154295
0.0,0.0,0.0,-1.0,1.0,-1.0,-4.0,5.0,0.0,-1.0,1.522903839198264
0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-4.0,5.0,0.0,-1.4277223492483948
4.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-4.0,5.0,-0.3489987964829133
3.0,4.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-4.0,0.6979975929658266
-7.0,3.0,4.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-0.586952521357631
0.0,-7.0,3.0,4.0,0.0,0.0,0.0,0.0,-1.0,1.0,-8.915332891973193
0.0,0.0,-7.0,3.0,4.0,0.0,0.0,0.0,0.0,-1.0,-0.6186796846742837
3.0,0.0,0.0,-7.0,3.0,4.0,0.0,0.0,0.0,0.0,6.6468407148341235
-2.0,3.0,0.0,0.0,-7.0,3.0,4.0,0.0,0.0,0.0,3.331352148246225
-0.5,-2.0,3.0,0.0,0.0,-7.0,3.0,4.0,0.0,0.0,-1.0945871344238078
